Latitude,Longitude,Elevation,Time,Distance,Speed,Anomaly,PM2.5,PM10
33.985056,-118.422106,10.29290773,10-11-2024 13:57,13.33129291,0.039325348,2,20.7,29
33.985173,-118.422139,7.183216459,10-11-2024 14:02,11.09306908,0.201692165,2,20.7,29
33.985074,-118.422122,6.906780366,10-11-2024 14:03,10.34949981,0.087707626,2,20.7,29
33.985075,-118.42201,6.879327455,10-11-2024 14:05,10.19694323,0.226598738,2,20.7,29
33.985108,-118.422113,6.744196947,10-11-2024 14:06,10.32609737,0.002027508,2,20.7,29
33.985015,-118.422108,6.866385329,10-11-2024 15:31,10.08385429,0.031910931,2,13.8,24
33.985094,-118.422054,7.300088324,10-11-2024 15:36,11.36782317,0.004055592,2,13.8,24
33.985005,-118.422115,7.042527433,10-11-2024 16:23,9.949606621,0.036312433,2,13.8,24
33.985084,-118.422064,6.472143692,10-11-2024 16:27,10.01741816,0.035397237,2,13.8,24
33.98515,-118.422138,6.399146843,10-11-2024 16:32,11.22881233,0.311911454,2,10.5,27
33.985057,-118.42209,6.415820079,10-11-2024 16:33,12.7104151,0.259396227,2,10.5,27
33.985132,-118.421986,6.434911015,10-11-2024 16:33,10.45613723,1.307017154,2,10.5,27
33.985165,-118.422092,6.835975606,10-11-2024 16:33,14.26063158,4.753543861,2,10.5,27
33.98528,-118.422023,6.752082154,10-11-2024 16:34,8.427215435,2.106803859,2,10.5,27
33.985213,-118.422066,6.838636561,10-11-2024 16:34,11.98101406,0.998417839,2,10.5,27
33.985105,-118.422064,6.792890946,10-11-2024 16:34,10.36449238,0.178698144,2,10.5,27
33.985068,-118.422167,6.881054055,10-11-2024 16:35,10.16513563,0.195483377,2,10.5,27
33.985159,-118.422154,5.526714351,10-11-2024 16:36,10.16499133,0.116838981,2,10.5,27
33.985073,-118.422116,6.190745712,10-11-2024 16:37,10.25962281,0.053435535,2,10.5,27
33.985156,-118.422165,5.792962936,10-11-2024 16:40,10.34220806,0.015032279,2,10.5,27
33.985063,-118.422157,7.05071891,10-11-2024 16:52,11.1233418,2.780835449,2,10.5,27
33.985163,-118.422148,6.58038978,10-11-2024 16:52,10.00974164,0.008569984,2,10.5,27
33.985089,-118.422086,6.573612059,10-11-2024 17:11,13.02655588,0.00275054,2,10.5,27
33.985205,-118.422108,7.578746017,10-11-2024 18:30,10.2066968,0.309293843,2,22.4,38
33.985115,-118.422085,6.901964604,10-11-2024 18:31,12.21856477,0.02881737,2,22.4,38
33.985225,-118.422078,7.256302182,10-11-2024 18:38,10.65213081,1.521732973,2,22.4,38
33.985129,-118.422075,6.703730104,10-11-2024 18:38,10.30536638,1.145040709,2,22.4,38
33.98504,-118.422043,8.289541665,10-11-2024 18:38,10.73903668,0.011151648,2,22.4,38
33.985116,-118.422115,7.486884256,10-11-2024 18:54,1.753248687,0.002001425,2,22.4,38
33.985111,-118.422097,6.746735171,10-11-2024 19:09,10.68364352,0.002548579,2,22.4,38
33.985199,-118.422144,6.641982848,10-11-2024 20:19,10.3260975,0.860508125,2,15.6,28
33.985106,-118.422139,6.841614756,10-11-2024 20:19,10.81111788,0.003836451,2,15.6,28
